text,label
expected a better product,0
reading is wrong,1
horrible,0
brilliant,1
value-for-money,2
terrible product,0
utterly disappointed,0
bad quality,0
just okay,0
nice,0
mind-blowing purchase,2
pretty good,1
not good,0
worst experience ever!,0
nice,1
nice product,1
does the job,1
just wow!,2
worthless,0
waste of money!,0
hated it!,0
nice product,2
terrific,1
wonderful,1
perfect product!,2
excellent,2
don't waste your money,0
worth every penny,2
super!,1
hated it!,1
simply awesome,2
mind-blowing purchase,2
brilliant,2
waste of money!,0
nice,1
absolute rubbish!,0
not specified,1
unsatisfactory,1
delightful,2
really nice,1
utterly disappointed,1
bad quality,0
moderate,0
just okay,1
just wow!,2
highly recommended,1
pretty good,2
fabulous!,1
very poor,0
very poor,0
waste of money!,0
worthless,0
hated it!,0
nice,1
worst experience ever!,1
worthless,2
useless product,1
good choice,1
classy product,0
terrific purchase,2
just wow!,2
value-for-money,1
good quality product,2
not specified,2
useless product,0
could be way better,1
highly recommended,1
horrible,1
did not meet expectations,0
utterly disappointed,0
perfect product!,1
fair,2
fair,1
mind-blowing purchase,1
classy product,2
bad quality,0
not recommended at all,0
absolute rubbish!,0
moderate,1
fair,0
wonderful,2
super!,2
good,2
horrible,0
worthless,0
highly recommended,2
decent product,0
worst experience ever!,1
fair,1
not specified,1
nice,1
good,1
simply awesome,2
unsatisfactory,0
horrible,0
awesome,2
unsatisfactory,0
horrible,0
utterly disappointed,0
bad quality,0
pretty good,1
not recommended at all,0
excellent,2
decent product,1
simply awesome,0
good choice,2
classy product,1
worth the money,1
worthless,0
good,1
does the job,1
best in the market!,2
fair,1
highly recommended,1
terrible product,0
fair,1
good,0
don't waste your money,0
not recommended at all,0
decent product,0
does the job,1
fair,0
fabulous!,1
did not meet expectations,1
not specified,1
terrific purchase,2
don't waste your money,1
did not meet expectations,0
worth every penny,2
not specified,0
great product,2
best in the market!,2
just okay,1
terrific,2
don't waste your money,0
best in the market!,1
worth every penny,1
unsatisfactory,0
fair,0
unsatisfactory,0
classy product,1
very poor,0
terrific purchase,1
must buy!,2
terrible product,0
not specified,0
bad quality,1
hated it!,0
worthless,0
nice,2
good choice,1
awesome,2
very poor,0
did not meet expectations,0
just wow!,2
just okay,1
horrible,0
classy product,2
just okay,0
nice,0
not specified,1
bad quality,0
not recommended at all,0
horrible,1
excellent,2
classy product,2
not recommended at all,0
unsatisfactory,0
brilliant,1
nice,1
horrible,0
did not meet expectations,0
value-for-money,0
decent product,1
awesome,2
